symbol,name,exchange,index,source_url,as_of,stage
A,Agilent Technologies,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AAPL,Apple Inc.,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ABBV,AbbVie,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ABNB,Airbnb,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ABT,Abbott Laboratories,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ACGL,Arch Capital Group,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ACN,Accenture,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ADBE,Adobe Inc.,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ADI,Analog Devices,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ADM,Archer Daniels Midland,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
ADP,Automatic Data Processing,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ADSK,Autodesk,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AEE,Ameren,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AEP,American Electric Power,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AES,AES Corporation,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AFL,Aflac,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AIG,American International Group,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AIZ,Assurant,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AJG,Arthur J. Gallagher & Co.,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AKAM,Akamai Technologies,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ALB,Albemarle Corporation,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ALGN,Align Technology,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ALL,Allstate,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ALLE,Allegion,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AMAT,Applied Materials,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AMCR,Amcor,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AMD,Advanced Micro Devices,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AME,Ametek,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AMGN,Amgen,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AMP,Ameriprise Financial,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AMT,American Tower,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AMZN,Amazon,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ANET,Arista Networks,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AON,Aon plc,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AOS,A. O. Smith,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
APA,APA Corporation,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
APD,Air Products,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
APH,Amphenol,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
APO,Apollo Global Management,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
APP,AppLovin,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
APTV,Aptiv,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
ARE,Alexandria Real Estate Equities,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
ARES,Ares Management,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
ATO,Atmos Energy,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AVGO,Broadcom,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AVY,Avery Dennison,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AWK,American Water Works,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
AXON,Axon Enterprise,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AXP,American Express,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
AZO,AutoZone,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
BA,Boeing,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
BAC,Bank of America,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
BALL,Ball Corporation,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BAX,Baxter International,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BBY,Best Buy,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BDX,Becton Dickinson,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
BEN,Franklin Resources,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BF-B,Brown–Forman,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BG,Bunge Global,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BIIB,Biogen,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,1
BKNG,Booking Holdings,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
BKR,Baker Hughes,US,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-08-31,0
